english,russian
bind,"связь, связывать"
biography,биография
biological,биологический
bishop,епископ
bizarre,"причудливый, странный"
blade,"клинок, лезвие, лопасть"
blanket,"одеяло, охватывать, общий"
blast,"взрыв, взрывать"
bleed,"кровоточить, кровотечение"
blend,"смесь, смешивать"
bless,"благословить, благословлять"
blessing,"благословение, освящение"
blow,"удар, дуть"
boast,"хвастаться, гордиться, хвастовство"
bold,"смелый, дерзкий, отважный, решительный"
bombing,бомбардировка
bonus,"бонус, премия"
booking,"бронирование, заказ"
boom,"бум, ажиотаж, расцвет"
boost,"увеличить, повысить, стимулировать, повышение, рост"
bounce,подпрыгивать
bound,"связанный, ограниченный, обязанный"
boundary,граница
bow,"поклон, кланяться, склонить"
breach,"прорыв, нарушение, брешь, нарушать, проламывать"
breakdown,"пробой, поломка, разбивка"
breakthrough,"прорыв, достижение, прорывной"
breed,"порода, выводить, размножать"
brick,"кирпич, брусок"
briefly,"кратко, вкратце"
broadband,"широкополосный, широкополосный доступ"
broadcaster,"вещатель, телекомпания, телеведущий"
broadly,"широко, в общих чертах, в широком смысле"
browser,браузер
brutal,"жестокий, бесчеловечный, брутальный"
buck,самец
buddy,"приятель, дружище"
buffer,"буфер, амортизатор"
bug,"ошибка, дефект"
bulk,"масса, большая часть, объём, оптом"
burden,"бремя, нагрузка, груз"
bureaucracy,бюрократия
burial,"захоронение, похороны, погребение"
burst,"взорваться, лопаться"
cabin,"кабина, салон"
cabinet,"шкаф, ящик"
calculation,"вычисление, расчёт"
canal,"канал, проход"
candle,свеча
canvas,"холст, полотно"
capability,"возможность, способность, потенциал"
capitalism,капитализм
capitalist,капиталистический
carbon,"углерод, карбон"
cargo,"груз, посылка"
carriage,"карета, вагон"
carve,"резать, вырезать"
casino,казино
casual,повседневный
casualty,несчастный случай
catalogue,каталог
cater,"обслуживать, ухаживать"
cattle,"скот, крупный рогатый скот"
caution,"осторожность, осмотрительность"
cautious,"осторожно, осторожный"
cave,пещера
cease,"прекратить, перестать"
cemetery,кладбище
certainty,уверенность
certificate,"сертификат, свидетельство"
challenging,"сложный, трудный"
chamber,"камера, палата, комната"
championship,чемпионат
chaos,хаос
characterize,"характеризовать, описать"
charm,"шарм, очарование, талисман, амулет"
charming,"очаровательный, обаятельный"
charter,"чартер, устав"
chase,"преследовать, преследование"
cheek,щека
cheer,"поддержать, подбодрить"
choir,хор
chop,рубить
chronic,"хронический, постоянный"
chunk,кусок
circuit,"схема, контур, цепь"
circulate,"циркулировать, распространять"
circulation,"циркуляция, тираж, круговорот, передвижение"
citizenship,гражданство
civic,"гражданский, городской, общественный"
civilian,"гражданский, мирный житель, гражданское лицо, гражданин"
civilization,цивилизация
clarify,"уточнить, прояснить, разъяснить, объяснить"
clarity,"ясность, прозрачность, четкость"
clash,"столкновение, конфликт, схватка"
classification,классификация
classify,классифицировать
clerk,"секретарь, служащий, клерк"
cliff,"утес, обрыв, скала"
cling,"цепляться, держаться"
clinic,"клиника, поликлиника, лечебница"
clinical,клинический
clip,"клип, зажим, клипса"
closure,"закрытие, застежка"
cluster,"группа, скопление"
coalition,"коалиция, объединение"
coastal,прибрежный
cocktail,коктейль
cognitive,когнитивный
coincide,совпадать
coincidence,совпадение
collaborate,сотрудничать
collaboration,сотрудничество
collective,"коллективный, общий, совместный"
collector,"коллектор, сборщик"
collision,столкновение
colonial,колониальный
colony,"колония, поселение"
colourful,"красочный, яркий, цветной"
columnist,"обозреватель, журналист"
combat,"бой, бороться"
comic,"комик, комический, комедийный"
commander,командир
commence,"начинать, запустить"
commentary,комментарий
commentator,комментатор
commerce,"коммерция, торговля"
commissioner,"комиссар, уполномоченный"
commodity,"товар, продукт"
communist,"коммунист, коммунистический"
companion,"компаньон, напарник, спутник, спутница"
comparable,"сравнимый, сопоставимый"
comparative,"сравнительный, сопоставительный"
compassion,"сострадание, сочувствие"
compel,заставлять
compelling,"убедительно, убедительный"
compensate,"компенсировать, возместить"
compensation,"компенсация, возмещение"
competence,"компетенция, профессионализм, компетентность"
competent,"компетентный, знающий"
compile,собрать
complement,дополнять
completion,"завершение, окончание"
complexity,сложность
compliance,соблюдение
complication,осложнение
comply,соблюдать
compose,"сочинять, составлять"
composer,композитор
composition,"состав, композиция"
compound,"соединять, соединить, составной, составить"
comprehensive,"всеобъемлющий, исчерпывающий"
comprise,"составлять, включать, включать в себя"
compromise,"компромисс, компрометировать, подставлять"
compulsory,обязательный
compute,вычислять
conceal,"скрыть, скрывать"
concede,уступать
conceive,зачать ребенка
conception,"понятие, представление, концепция"
concession,"уступка, льгота"
concrete,"бетон, бетонный, конкретный"
condemn,"осудить, осуждать"
confer,совещаться
confess,"признаться, признаваться, сознаться, сознаваться"
confession,признание
configuration,"конфигурация, настройки"
confine,ограничить
confirmation,подтверждение
confront,противостоять
confrontation,"противостояние, конфликт"
confusion,"неразбериха, путаница"
congratulate,"поздравить, поздравлять"
congregation,община
congressional,конгрессовый
conquer,"завоевать, покорить, покорять"
conscience,"совесть, сознательность"
consciousness,сознание
consecutive,последовательный
consensus,"консенсус, согласие"
consent,"соглашаться, соглашение"
consequently,"следовательно, соответственно"
conservation,"сохранение, консервация"
conserve,"сохранять, беречь"
considerable,"значительный, существенный"
considerably,"значительно, существенно"
consistency,"последовательность, согласованность, постоянство, консистенция"
consistently,"постоянно, последовательно"
consolidate,"объединить, укреплять, консолидировать, объединять"
conspiracy,"заговор, сговор"
constituency,избирательный округ
constitute,"составлять, создать"
constitution,"Конституция, конституция"
constitutional,"конституционный, конституциональный"
constraint,ограничение
consult,"проконсультироваться, консультироваться, совещаться"
consultant,"консультант, советник"
consultation,"консультация, совещание"
consumption,потребление
contemplate,"обдумать, обдумывать, размышлять"
contempt,"презрение, неуважение, пренебрежение"
contend,утверждать
contender,претендент
content,довольный
contention,"соперничество, противостояние, разногласие"
continually,"постоянно, непрерывно"
contractor,"подрядчик, исполнитель"
contradiction,противоречие
contrary,"противоположный, противоположность, вопреки"
contributor,"вкладчик, помощник, спонсор"
controversial,"спорный, противоречивый"
controversy,"спор, конфликт, разногласие"
convenience,"удобство, комфорт"
convention,"съезд, конвенция"
conventional,обычный
conversion,"превращение, преобразование"
convey,"передавать, транспортировать"
convict,"преступник, осужденный, заключенный"
conviction,"осуждение, обвинительный приговор, приговор"
convincing,"убеждение, убедительный"
cooperate,"сотрудничать, взаимодействовать"
cooperative,"совместный, кооперативный"
coordinate,"координировать, согласовывать, согласовать"
coordination,"координация, согласование, согласованность"
coordinator,"координатор, управляющий"
cop,полицейский
cope,"справиться, справляться"
copper,"медь, медный"
copyright,авторское право
corporation,"корпорация, компания"
correction,"коррекция, корректировка, исправление"
correlate,"коррелировать, сопоставлять, связать, связывать"
correlation,"корреляция, соотношение, связь"
correspond,"соответствовать, переписываться"
correspondence,"соответствие, переписка"
correspondent,"корреспондент, журналист"
corresponding,соответствующий
corridor,коридор
corrupt,"коррумпированный, продажный"
corruption,коррупция
costly,"затратный, дорогостоящий"
councillor,советник
counselling,"консультирование, консультация"
counsellor,"консультант, советник"
counter(n),длинная плоская поверхность
counter(v),"противостоять, противоречить"
counterpart,аналог
countless,бесчисленный
coup,"переворот, путч"
courtesy,"любезность, вежливость"
coverage,"покрытие, охват, распространение"
crack,"трещина, ломаться, ломать"
craft,"ремесло, создавать"
crawl,"ползти, ползать"
creativity,"творчество, креативность"
creator,"создатель, творец"
credibility,"доверие, авторитет, убедительность, достоверность"
credible,заслуживающий доверия
creep,"ползти, красться"
critically,"критически, крайне"
critique,критика
crown,корона
crude,"сырой, черновой"
cruise,"круиз, отправиться в круиз"
crush,"сокрушить, раздробить, дробить, раздавить"
crystal,"кристалл, хрусталь"
cue,"сигнал, намек"
cult,"культ, культовый"
cultivate,"выращивать, развивать"
curiosity,"любопытство, интерес"
curious,любопытный
curriculum,"учебный план, программа, курс обучения"
custody,"опека, опекунство, хранение"
cute,"милый, симпатичный"
cutting,сокращение
cynical,циничный
dairy,"молочный, молокозавод"
dam,"плотина, дамба"
damaging,разрушительный
dare,"осмелиться, осмеливаться, отваживаться"
darkness,"тьма, темнота"
database,база данных
dawn,"заря, рассвет"
deadline,"крайний срок, дедлайн"
deadly,смертельный
dealer,дилер
debris,"мусор, обломки, отходы"
debut,"дебют, первое выступление"
decision-making,принятие решений
decisive,"решительный, решающий"
deck,"палуба, площадка"
declaration,"декларация, заявление"
dedicated,"посвященный, выделенный"
dedication,"преданность, приверженность"
deed,"дело, поступок, деяние"
deem,"считать, думать"
default,"несоблюдение, дефолт, невыполнение"
defect,"дефект, неполадка, повреждение"
defender,защитник
defensive,"оборонительный, защитный, оборонный"
deficiency,"дефицит, недостаток"
deficit,"дефицит, недостаток"
defy,"игнорировать, ослушаться"
delegate,делегировать
delegation,делегация
delete,удалить
delicate,"деликатный, нежный, изысканный"
democracy,демократия
democratic,"демократичный, демократический"
demon,демон
demonstration,"демонстрация, показ"
denial,"отказ, отрицание"
denounce,"осудить, осуждать"
dense,"густой, плотный"
density,плотность
depart,уезжать
dependence,зависимость
dependent,зависимый
depict,изображать
deploy,"развернуть, развертывать, внедрять, внедрить"
deployment,"развертывание, внедрение, размещение"
deposit,"вклад, вкладывать"
depression,"депрессия, уныние"
deprive,"лишать, лишить"
deputy,"заместитель, депутат, представитель"
derive,"производить, получать"
descend,"спускаться, спуститься"
descent,"спуск, склон"
designate,"определять, определить, обозначить, устанавливать, установить"
desirable,"желанный, желаемый, желательный"
desktop,рабочий стол
desperately,"безнадежно, отчаянно"
destruction,"уничтожение, разрушение"
destructive,"разрушительный, уничтожающий"
detain,задерживать
detection,обнаружение
detention,"задержание, арест"
deteriorate,"ухудшаться, разрушаться"
determination,"решимость, решительность, определение"
devastate,"опустошать, опустошить"
devil,"дьявол, черт"
devise,"придумывать, выдумывать"
devote,"посвящать, посветить"
diagnose,"диагностировать, выявить"
diagnosis,"диагноз, диагностика"
dictate,диктовать
dictator,диктатор
differ,"отличаться, различаться"
differentiate,различать
dignity,"достоинство, гордость"
dilemma,"дилемма, затруднительное положение"
dimension,измерение
diminish,"уменьшить, уменьшать, снизить, снижать"
dip,"окунуть, нырнуть, окунать, макать"
diplomat,дипломат
diplomatic,дипломатический
directory,"каталог, справочник, папка"
disability,"инвалидность, недееспособность"
disabled,"инвалид, недееспособный"
disagreement,"несогласие, разногласие"
disappoint,"расстраиваться, разочаровываться, расстроить, разочаровать"
disappointment,"разочарование, огорчение"
disastrous,катастрофический
discard,"отказываться, отвергать, отбрасывать"
discharge,"освободить, освобождать, разряжать, разрядить"
disclose,"раскрыть, раскрывать, разглашать"
disclosure,"раскрытие, разглашение, разоблачение"
discourage,отговаривать
discretion,"усмотрение, осмотрительность, рассудительность"
discrimination,дискриминация
dismissal,"сокращение, увольнение"
disorder,"беспорядок, нарушение, расстройство"
displace,"вытеснять, смещать"
disposal,"утилизация, ликвидация, избавление"
dispose,"избавиться, утилизировать, избавляться"
dispute,"спор, оспаривать, разногласие"
disrupt,"нарушать, разрушать"
disruption,"сбой, нарушение, срыв"
dissolve,"распускать, аннулировать, расторгать"
distant,"далёкий, дальний, дистанционный"
distinct,"особенный, особый, специфический"
distinction,"различие, отличие"
distinctive,"отличительный, характерный, уникальный"
distinguish,"различать, отличать, распознавать"
distort,"искажать, исказить"
distract,отвлекать
distress,"огорчать, расстраивать, расстройство, боль, бедствие"
disturb,"беспокоить, мешать"
disturbing,"беспокоящий, мешающий"
dive,"погружение, нырять"
diverse,разнообразный
diversity,"разнообразие, многообразие"
divert,"отвлекать, отвлечь"
divine,"божественный, божий, святой"
divorce,"развод, разводиться"
doctrine,"учение, теория, доктрина"
documentation,документация
domain,домен
dominance,"превосходство, преобладание, господство"
dominant,"доминирующий, преобладающий, превосходящий, господствующий"
donation,пожертвование
donor,"донор, даритель"
dose,доза
dot,"точка, пятнышко"
downtown,"центр города, городской, центральный, в центре города, в городе"
drain,"слить, осушить, осушать, украсть"
dramatically,"резко, значительно, существенно"
drift,"дрейфовать, заносить"
driving,движущий
drought,"сухость, засуха"
drown,"утонуть, тонуть, утопить, топить"
dual,"двойной, двойственный"
dub,дублировать
dull,"тусклый, скучный"
dumb,тупой
dump,"сваливать, разгружать, сбрасывать"
duo,дуэт
duration,"продолжительность, длительность"
dynamic,"динамичный, динамический, динамика, энергичный, активный"
eager,"жаждущий, стремящийся, усердный"
earnings,"доход, заработок"
ease,"простота, легкость, облегчить"
echo,"эхо, отражать"
ecological,экологический
economics,экономика
economist,экономист
editorial,"редакционный, редакторский"
educator,"педагог, преподаватель"
effectiveness,эффективность
efficiency,эффективность
efficiently,эффективно
ego,"эго, самомнение"
elaborate,"продуманный, замысловатый"
elbow,локоть
electoral,"избирательный, выборный"
electronics,электроника
elegant,"элегантный, изящный, изысканный"
elementary,начальный
elevate,"повышать, возвышать, продвигать, поднимать"
eligible,"соответствующий, соответствующий требованиям, имеющий право"
eliminate,"устранить, исключить, устранять"
elite,элита
embark,"отправиться, отправляться"
embarrassment,"неловкость, смущение"
embassy,посольство
embed,"вставить, вставлять, укрепить, укреплять, внедрить, внедрять"
embody,"воплощать, олицетворять"
embrace,"обнять, обнимать"
emergence,"возникновение, появление"
emission,"выброс, выделение"
emotionally,эмоционально
empire,империя
empirical,"эмпирический, основанный на опыте"
empower,"уполномочивать, уполномочить"
enact,"вводить в действие, ввести в действие, утвердить, воплотить"
encompass,охватывать
encouragement,"поощрение, стимулирование"
encouraging,"поощряющий, ободряющий, стимулирующий"
endeavour,"стремление, старание"
endless,бесконечный
endorse,"одобрять, подтверждать"
endorsement,"одобрение, подтверждение"
endure,"терпеть, выдерживать, вытерпеть"
enforce,"обеспечивать исполнение, приводить в исполнение, принудить"
enforcement,"соблюдение, принуждение"
engagement,"взаимодействие, участие, активность"
engaging,"привлекательный, увлекательный"
enjoyable,"приятный, радостный"
enquire,"поинтересоваться, запрашивать, осведомиться, запросить"
enrich,"обогащать, обогатить, улучшить, улучшать"
enrol,"записываться, записаться, зачисляться, зачислиться"
ensue,"следовать, проистекать, происходить"
enterprise,"предприятие, предпринимательство"
entertaining,"развлекательный, увлекательный"
enthusiast,энтузиаст
entitle,"давать право, дать право, озаглавить, назвать, называть"
entity,"сущность, лицо, организация"
entrepreneur,предприниматель
envelope,конверт
epidemic,"эпидемия, вспышка болезни"
equality,"равенство, равноправие"
equation,уравнение
equip,"оснастить, оборудовать"
equivalent,"эквивалент, аналог, эквивалентный, аналогичный"
era,"эпоха, эра"
erect,"строить, воздвигать, сооружать"
erupt,"извергаться, прорываться"
escalate,"усугублять, усугубить, обострять, обострить, эскалировать"
essence,"суть, экстракт"
essentially,"по сути, существенно, существенным образом, по существу"
establishment,"создание, учреждение, установление"
eternal,вечный
ethic,"этика, этический"
ethnic,"этнический, национальный"
evacuate,эвакуировать
evaluation,оценка
evident,"очевидный, наглядный, явный"
evoke,"вызывать, пробуждать, провоцировать"
evolution,"эволюция, развитие"
evolutionary,эволюционный
evolve,"эволюционировать, развиваться"
exaggerate,преувеличивать
exceed,"превышать, превысить"
excellence,"превосходство, совершенство"
exception,исключение
exceptional,исключительный
excess,"избыток, избыточный"
excessive,"избыточный, чрезмерный, излишний"
exclude,"исключать, исключить"
exclusion,исключение
exclusive,"эксклюзивный, исключительный, особый"
exclusively,"исключительно, только"
execute,"исполнять, выполнять, совершать, совершить, выполнить, исполнить"
execution,"исполнение, выполнение, казнь"
exert,прилагать усилия
exert,прилагать усилия
exhibit,"выставлять, выставка"
exile,изгнание
exit,"выход, выходить, уходить"
exotic,"экзотический, экзотичный"
expansion,"расширение, развитие"
expenditure,"расходы, затраты"
experimental,экспериментальный
expertise,"экспертиза, опыт"
expire,"истекать, заканчиваться"
explicit,"прямой, очевидный, однозначный"
explicitly,"явно, прямо, однозначно"
exploit,"эксплуатировать, использовать"
exploitation,"эксплуатация, использование"
explosive,"взрывной, взрывчатый, взрывчатое вещество, взрывчатка"
exposure,"воздействие, подверженность, экспозиция"
extension,"расширение, продление"
extensive,"большой, широкий, обширный"
extensively,"широко, обширно"
extract,"экстракт, выдержка, извлечь, извлекать, вытаскивать, извлечение"
extremist,экстремист
fabric,"ткань, материал"
fabulous,"сказочный, потрясающий, невероятный"
facilitate,"содействовать, способствовать"
faction,фракция
faculty,факультет
fade,"исчезать, утихать, уменьшаться"
failed,неудачный
fairness,"справедливость, честность"
fake,"подделка, ненастоящий, поддельный"
fame,"слава, известность"
fantasy,"фантазия, фэнтези"
fare,"тариф, плата за проезд, стоимость проезда"
fatal,"смертельный, фатальный, роковой, критический"
fate,судьба
favourable,"благоприятный, выгодный"
feat,"подвиг, достижение"
federal,федеральный
feminist,"феминистка, женский"
fever,"лихорадка, жар"
fibre,"клетчатка, волокно, фибра"
fierce,"жестокий, свирепый"
film-maker,кинорежиссёр
filter,"фильтр, фильтровать, фильтрация"
fine,"штраф, оштрафовать, штрафовать"
firearm,огнестрельное оружие
firefighter,пожарный
firework,фейерверк
firm,"прочный, твердый, крепкий"
firmly,"твердо, четко, решительно"
fit,"подходить, соответствовать"
fixture,"прибор, приспособление"
flavour,вкус
flaw,"недостаток, дефект"
flawed,"небезупречный, дефектный, несовершенный"
flee,"избегать, спасаться бегством"
fleet,"флот, парк, флотилия, автопарк"
flesh,плоть
flexibility,"гибкость, эластичность"
flourish,"процветать, преуспевать"
fluid,жидкость
761. fond,"любящий, испытывающий нежный чувства"
fond,"любящий, испытывающий нежные чувства"
fool,дурак
footage,"видеоматериал, отснятый материал"
forbid,"запрещать, запретить, не позволять"
forecast,"прогноз, предсказание, прогнозировать, предсказывать"
foreigner,иностранец
forge,"ковать, подделать"
format,формат
formation,"формирование, построение"
formerly,"ранее, раньше"
formula,формула
formulate,"формулировать, разрабатывать"
forth,"вперед, далее, дальше"
forthcoming,"предстоящий, грядущий"
fortunate,"счастливый, удачливый"
forum,"форум, съезд"
fossil,"ископаемое, окаменелость"
foster,поощрять
foundation,фонд
founder,"основатель, учредитель"
fragile,"хрупкий, ранимый"
fragment,"фрагмент, кусок"
framework,"рамки, основа, структура"
franchise,франшиза
frankly,"откровенно, честно"
fraud,"мошенничество, обман"
freely,свободно
frequent,"частый, многократный"
frustrated,"раздраженный, разочарованный"
frustrating,разочаровывающий
frustration,"разочарование, досада"
fulfil,"выполнять, выполнить, исполнить, исполнять"
full-time,"полная занятость, полноценный, постоянно"
functional,"функциональный, исправный"
fundraising,сбор средств
fundamentally,"фундаментально, принципиально"
funeral,"погребение, похороны"
furious,яростный
gallon,галлон
gambling,азартные игры
gaming,игра
gathering,"сбор, встреча, собрание"
gay,"гондурастский, гейский"
gaze,"пристальный взгляд, пристально смотреть"
gear,"передача, устройство, снаряжение"
gender,"пол, род"
gene,ген
generic,"общий, универсальный"
genetic,генетический
genius,гений
genocide,геноцид
genuine,"подлинный, настоящий, искренний"
genuinely,"искренне, действительно"
gesture,"жест, знак"
gig,концерт
glance,"взгляд, взглянуть, быстро взглянуть"
glimpse,"быстрый взгляд, проблеск"
globalization,глобализация
globe,"шар, глобус"
glorious,"великолепный, чудесный, восхитительный, славный"
glory,"слава, блаженство, победа"
golden,"золотой, золотистый"
goodness,"доброта, добро, добродушие"
gorgeous,"великолепный, величественный, прекрасный"
governance,"руководство, управление"
governor,"правитель, начальник, губернатор"
grace,"грация, изящество"
graphic,графический
graphics,графика
grasp,"понимать, улавливать, постигать, усваивать, захват, хватка"
grave(n),могила
grave(adj),"серьезный, веский"
gravity,"гравитация, серьезность"
greatly,значительно
greenhouse,теплица
grid,"сетка, решетка"
grief,"горе, печаль, скорбь"
grin,"оскал, оскаливаться, ухмылка, ухмыляться"
grind,"шлифовать, молоть, дробить, измельчать"
grip,"захват, контроль, хватка, держать, сжать, схватить"
grocery,продуктовый магазин
gross,"отвратительный, омерзительный, противный"
guerrilla,партизан
guidance,руководство
guideline,"руководство, указание"
guilt,"вина, виновность"
gut,"кишка, нутро"
habitat,среда обитания
hail,приветствовать
halfway,"наполовину, на полпути"
halt,"останавливать, прекратить, остановить, прекратить, пресечь, прекращение"
handful,горсть
handling,"обработка, обращение, управление, подход"
handy,"удобный, полезный, практичный"
harassment,"домогательство, преследование"
harbour,"гавань, порт, пристань"
hardware,"оборудование, аппаратные средства"
harmony,гармония
harsh,"суровый, жёсткий, резкий, грубый"
harvest,урожай
hatred,ненависть
haunt,"преследовать, охотиться"
hazard,"опасность, риск, вредность, угроза"
headquarters,"штаб-квартира, главный офис, головной офис"
heal,"исцелять, исцелить, зажить, заживать, залечить, залечивать, вылечивать"
healthcare,здравоохранение
heighten,"повысить, повышать, усилить, увеличить"
helmet,"шлем, каска"
hence,"следовательно, таким образом, поэтому"
herb,"трава, растение, пряность"
heritage,"наследие, достояние"
hidden,"скрытый, спрятанный"
hierarchy,иерархия
high-profile,"высокопоставленный, престижный, высокого уровня, авторитетный"
highway,"шоссе, магистраль"
hilarious,"забавный, веселый, шумный, уморительный"
hint,"подсказка, намек, подсказывать, намекать, намекнуть"
hip,бедро
historian,историк
homeland,родина
homeless,бездомный
honesty,"честность, искренность"
hook,"крюк, зацеплять, зацепить"
hopeful,"полный надежды, надеющийся, оптимистичный"
hopefully,с надеждой
horizon,"горизонт, кругозор"
horn,"рог, горн, гудок"
hostage,"заложник, заложница"
hostile,"враждебный, недружественный"
hostility,"враждебность, неприязнь, вражда"
humanitarian,гуманитарный
humanity,"человечество, человечность"
humble,"скромный, покорный"
hunger,голод
hydrogen,водород
hypothesis,"гипотеза, предположение"
icon,"значок, икона, символ"
ID,удостоверение личности
identical,"идентичный, одинаковый"
identification,идентификация
ideological,идеологический
ideology,"идеология, мировоззрение"
idiot,"дурак, идиот, идиотка"
ignorance,"невежество, незнание, неведение"
illusion,иллюзия
imagery,"изображение, проекция, снимок"
immense,"огромный, колоссальный"
immigration,иммиграция
imminent,"неминуемый, неотвратимый, неизбежный"
immune,"иммунный, невосприимчивый, неуязвимый"
implement,"осуществлять, внедрять, реализовывать"
implementation,"осуществление, внедрение, реализация, исполнение"
implication,"значение, подтекст, смысл"
imprison,заключать в тюрьму
imprisonment,"лишение свободы, заключение, заточение"
inability,"неспособность, невозможность, неумение"
inadequate,неадекватный
inappropriate,"неуместный, несоответствующий, неподходящий"
incentive,"стимул, поощрение, толчок"
incidence,"частота, частотность, масштаб"
inclined,"наклоненный, склонный"
inclusion,"включение, вовлечение"
incorporate,включать
incorrect,"неправильный, неверный"
incur,"подвергаться, подвергнуться, взять на себя, брать на себя"
independence,независимость
index,"индекс, показатель, указатель"
indication,"индикация, указание, показание, признак"
indicator,"индикатор, показатель"
indictment,"обвинительное заключение, официальное обвинение"
indigenous,"коренной, местный"
induce,"вызывать, вызвать, стимулировать"
indulge,"баловать, потакать, побаловать"
inequality,"неравенство, разница"
inevitable,неизбежный
inevitably,неизбежно
infamous,"печально известный, скандально известный, позорный, постыдный"
infant,"младенец, ребенок"
infect,"заражать, заразить"
infer,"делать вывод, заключать"
infer,"делать вывод, заключать"
inflation,инфляция
inflict,"нанести, наносить, причинять"
influential,"влиятельный, важный"
info,"информация, данные"
infrastructure,инфраструктура
inhabitant,"житель, обитатель"
inherent,"присущий, неотъемлемый, врождённый"
inherit,"наследовать, получать в наследство, унаследовать"
inhibit,"препятствовать, подавлять, сдерживать"
initiate,"инициировать, начать, начинать"
